Priority,Epic,Feature,Task ID,Task Name,Task Type,Story Points,Sprint,Dependencies,Acceptance Criteria,Detailed AI Prompt
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-005,Integrate transaction logging into batch service,Backend Integration,3,3,TTB-004,"- BatchesService calls TTB transaction logger on batch completion
- Production transaction logged with correct date and volume
- No errors in existing batch workflows
- Backwards compatible (works if TTB not enabled)","Integrate TTB transaction logging into existing batch completion workflow. In Caskr.Server/Services/BatchesService.cs (or similar), find the method that completes a batch (e.g., CompleteBatchAsync). After batch status is updated to 'Completed', add TTB logging: 1) Inject ITtbTransactionLogger into BatchesService constructor. 2) After batch.Status = BatchStatus.Completed, call await ttbTransactionLogger.LogProductionAsync(batch.Id, DateTime.UtcNow). 3) Wrap in try-catch to prevent TTB logging failures from blocking batch completion. Log errors but don't throw. 4) Check if company has TTB compliance enabled before logging (query company settings or check if ttb_monthly_reports exist for company). Only log if enabled. This ensures all production is tracked for TTB reporting without changing existing batch workflows. Similar integration needed in BarrelsService for barrel fill/dump events, TransfersService for transfer events, OrdersService for bottling/tax events. For this task, focus only on BatchesService integration. Other services will be separate tasks."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-006,Create inventory snapshot scheduler,Backend Service,5,3,TTB-003,"- Daily scheduled job (runs at midnight)
- Snapshots current inventory by product type and spirits type
- Calculates proof gallons and wine gallons for all barrels
- Saves to ttb_inventory_snapshots table
- Can backfill historical snapshots","Create background service for daily inventory snapshots. File: Caskr.Server/Services/BackgroundJobs/TtbInventorySnapshotService.cs. Implements IHostedService. This service runs daily at midnight and captures inventory state for TTB reporting. Implementation: 1) In ExecuteAsync, calculate next midnight, sleep until then. 2) Query all companies with TTB enabled. 3) For each company, query all active barrels (status != Sold, != Emptied). 4) Group barrels by (product_type, spirits_type, tax_status). For each group, sum proof_gallons and wine_gallons. 5) Insert snapshot records: INSERT INTO ttb_inventory_snapshots (company_id, snapshot_date, product_type, spirits_type, proof_gallons, wine_gallons, tax_status) VALUES (...). Use CURRENT_DATE for snapshot_date. 6) Log snapshot creation. 7) Repeat daily. Add method: Task BackfillSnapshotsAsync(int companyId, DateTime startDate, DateTime endDate) for historical data. This generates snapshots for past dates by querying historical barrel states (may need barrel_history table or audit log). Register service: builder.Services.AddHostedService<TtbInventorySnapshotService>(). Critical for accurate monthly reporting."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-007,Create TTB report calculation service,Backend Service,8,4,TTB-004|TTB-006,"- ITtbReportCalculator interface
- CalculateMonthlyReport() method
- Returns structured report data (opening inventory, production, transfers, losses, closing inventory)
- Handles all spirits types and product types
- Validates data consistency (opening + changes = closing)","Create ITtbReportCalculator interface and TtbReportCalculatorService in Caskr.Server/Services/. This is the core calculation engine for Form 5110.28. Method: Task<TtbMonthlyReportData> CalculateMonthlyReportAsync(int companyId, int month, int year). Returns TtbMonthlyReportData DTO with all sections of Form 5110.28. Implementation: 1) Determine date range: startDate = first day of month, endDate = last day of month. 2) Get opening inventory: Query ttb_inventory_snapshots WHERE company_id = {id} AND snapshot_date = {first day of previous month}. If not exists, use sum of all transactions before startDate. 3) Get production: Query ttb_transactions WHERE company_id = {id} AND transaction_type = 'Production' AND transaction_date BETWEEN startDate AND endDate. Sum proof_gallons and wine_gallons by product_type and spirits_type. 4) Get transfers in: transaction_type = 'TransferIn'. 5) Get transfers out: transaction_type = 'TransferOut'. 6) Get losses: transaction_type = 'Loss'. 7) Calculate closing inventory: opening + production + transfers_in - transfers_out - losses. 8) Validate: closing inventory from calculation should match snapshot on last day of month (within tolerance of 0.01 gallons). If mismatch, log warning. Return TtbMonthlyReportData with all sections populated. Create DTO classes for each form section (ProductionSection, TransfersSection, etc.)."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-008,Create PDF generation for Form 5110.28,Backend Service,8,5,TTB-007,"- PDF template for Form 5110.28 (official TTB form)
- Service fills template with calculated data
- All fields populated correctly
- PDF saved to storage
- Returns file path and byte array","Create service to generate PDF for TTB Form 5110.28. Service: ITtbPdfGenerator, TtbPdfGeneratorService in Caskr.Server/Services/. This uses iText7 (already in project from FIN tasks). Method: Task<byte[]> GenerateForm5110_28Async(TtbMonthlyReportData reportData). Implementation: 1) Load PDF template from Forms/ttb_form_5110_28.pdf (download official form from TTB.gov and place in Forms directory). 2) Use iText7 to fill form fields (similar to existing LabelsService and TransfersService patterns). 3) Map reportData to form fields. Example fields: 'permit_number' (from Company.TtbPermitNumber), 'report_month', 'report_year', 'opening_inventory_proof_gallons', 'production_proof_gallons', 'transfers_in_proof_gallons', etc. Form has separate sections for different spirits types. 4) Fill all numeric fields formatted to 2 decimal places. 5) Include company information (name, address, permit number) from Company table. 6) Flatten form (make non-editable). 7) Save PDF to storage: Caskr.Server/Storage/TTBReports/{companyId}/{year}/{month}/Form_5110_28.pdf. Create directory if not exists. 8) Return byte array for download. Add comprehensive logging. Handle missing form fields gracefully (log warning if field not found in template)."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-009,Create TTB report generation endpoint,API Route,3,5,TTB-007|TTB-008,"- POST /api/ttb/reports/generate endpoint
- Accepts companyId, month, year
- Validates user has permission
- Generates report using calculator and PDF generator
- Saves TtbMonthlyReport record with status=Draft
- Returns PDF for download","Create TtbReportsController in Caskr.Server/Controllers/ extending AuthorizedApiControllerBase. Endpoint: POST /api/ttb/reports/generate. Request body: {companyId: int, month: int, year: int}. Implementation: 1) Validate month (1-12) and year (>= 2020). 2) Verify user has access to company (user.CompanyId == companyId or user is admin). 3) Check if report already exists: query TtbMonthlyReport WHERE company_id = {id} AND report_month = {month} AND report_year = {year}. If exists with status = Submitted or Approved, return 409 Conflict (can't regenerate submitted reports). If exists with status = Draft, delete and regenerate. 4) Call ttbReportCalculator.CalculateMonthlyReportAsync(companyId, month, year). 5) Call ttbPdfGenerator.GenerateForm5110_28Async(reportData). 6) Create TtbMonthlyReport record: company_id, report_month, report_year, status = Draft, generated_at = now, pdf_path = {path}. 7) Save to database. 8) Return File(pdf bytes, ""application/pdf"", $""Form_5110_28_{month}_{year}.pdf""). Add error handling for validation failures, missing data (e.g., no transactions for month), PDF generation errors. Add XML docs and Swagger attributes."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-010,Create TTB reports list UI,User Interface,5,6,TTB-009,"- TtbReportsPage.tsx component
- Table showing all generated reports by month/year
- Status indicators (Draft, Submitted, Approved)
- Generate new report button
- Download PDF button
- Submit to TTB button (future: actual submission)
- Filters by year and status","Create TTB reports page in caskr.client/src/pages/TtbReportsPage.tsx. This page displays all monthly reports for the company. UI: 1) Header with 'TTB Monthly Reports (Form 5110.28)' title. 2) 'Generate New Report' button that opens modal with month/year picker. On submit, calls POST /api/ttb/reports/generate and downloads PDF. 3) Reports table with columns: [Month/Year | Generated Date | Status | Actions]. Example row: 'October 2024 | 11/05/2024 | Draft | [Download PDF] [View] [Submit]'. 4) Status badges: Grey for Draft, Blue for Submitted, Green for Approved. 5) Actions: 'Download PDF' button calls GET /api/ttb/reports/{id}/download. 'View' button opens PDF in modal (iframe). 'Submit' button (future implementation, for now shows 'Manual submission required' message). 6) Filters: Year dropdown (current year and past 5 years), Status dropdown (All, Draft, Submitted, Approved). 7) Fetch reports from GET /api/ttb/reports?companyId={id}&year={year}&status={status}. Backend endpoint queries TtbMonthlyReport table with filters. Use existing table components from OrdersPage.tsx. Add loading states and error handling."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-011,Add TTB compliance navigation menu item,User Interface,1,6,TTB-010,"- New menu item: 'TTB Compliance' in main navigation
- Links to TtbReportsPage
- Icon (clipboard or government building)
- Only visible if user has TTB permission","Add TTB Compliance to main navigation menu. In caskr.client/src/components/Navigation.tsx (or Layout.tsx if menu is there), add new navigation item: 1) Label: 'TTB Compliance' or 'Compliance Reports'. 2) Icon: Use clipboard icon or government building icon (from react-icons or existing icon library). 3) Route: /ttb-reports (add route in App.tsx routing config: <Route path=""/ttb-reports"" element={<TtbReportsPage />} />). 4) Permission check: Only show menu item if user has TTB_COMPLIANCE permission (check user.permissions or user.role). May need to add permission to User model and seed data. 5) Position in menu: Place under 'Reports' section or create new 'Compliance' section. Follow existing menu styling and patterns. Update route protection in routing config to require authentication and TTB permission."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-012,Create Form 5110.40 support (Storage Operations),Backend Service,5,7,TTB-007,"- Extend calculator to support Form 5110.40
- Storage operations report (barrel aging, warehouse operations)
- Different calculation logic than 5110.28
- PDF generation for Form 5110.40
- Integrated into same reports page","Add support for TTB Form 5110.40 (Monthly Report of Storage Operations). Similar to Form 5110.28 but focused on storage/aging operations. Extend TtbReportCalculatorService: 1) Add method: Task<TtbForm5110_40Data> CalculateForm5110_40Async(int companyId, int month, int year). This calculates storage-specific metrics: Barrels in storage (opening), Barrels received this month, Barrels removed this month, Barrels in storage (closing), Proof gallons in aging (by warehouse location if multi-warehouse). 2) Query ttb_inventory_snapshots for opening/closing counts. 3) Query ttb_transactions for received (TransferIn, Production) and removed (TransferOut, Bottling). 4) Group by warehouse location if Company has multiple warehouses. 5) Download Form 5110.40 from TTB.gov, add to Forms directory. 6) Extend TtbPdfGeneratorService: Add method GenerateForm5110_40Async(TtbForm5110_40Data data). Fill form template with storage data. 7) Update TtbReportsController: Add optional parameter formType to generate endpoint. Default to 5110.28, support '5110.40'. 8) Update TtbMonthlyReport model: Add form_type column (ENUM: '5110_28', '5110_40'). This allows distilleries to generate both required monthly reports."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-013,Add automated report scheduling,Backend Service,5,7,TTB-009|TTB-012,"- Monthly scheduled job (runs on 1st of each month)
- Auto-generates previous month's reports
- Saves as Draft status for review
- Sends email notification to compliance officer
- Configurable per company (some want auto-gen, some don't)","Create background service for automatic monthly report generation. File: TtbAutoReportGeneratorService.cs implementing IHostedService. This service auto-generates reports on the 1st of each month for the previous month. Implementation: 1) In ExecuteAsync, calculate next 1st of month at 6:00 AM, sleep until then. 2) Query companies with auto_generate_ttb_reports = true (add column to companies table or create ttb_settings table). 3) For each company, generate previous month's reports: month = current month - 1, year = current year (handle January edge case). 4) Call ttbReportCalculator.CalculateMonthlyReportAsync and ttbPdfGenerator.GenerateForm5110_28Async. 5) Create TtbMonthlyReport record with status = Draft. 6) Send email notification to compliance officer (query users WHERE company_id = {id} AND role = 'Compliance' OR is_ttb_contact = true). Email subject: 'TTB Monthly Report Generated - Review Required'. Include link to report in email body. 7) Log all operations. 8) Repeat monthly. Add configuration: Allow companies to disable auto-generation or change schedule (some distilleries may want weekly drafts). Use IEmailService for notifications (may need to create if not exists). Register service in Program.cs."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-014,Create data validation and warnings,Backend Service,5,8,TTB-007,"- Report calculator validates data consistency
- Warnings for unusual values (e.g., losses >10%)
- Errors for missing required data
- Validation results stored with report
- UI displays validation warnings before submission","Add data validation to TTB report generation. Extend TtbReportCalculatorService to include validation: 1) Create ValidationResult class with properties: IsValid (bool), Errors (List<string>), Warnings (List<string>). 2) In CalculateMonthlyReportAsync, after calculations, run validations: Check opening + production + transfers_in - transfers_out - losses = closing (within 0.1% tolerance). If not, add error: 'Inventory reconciliation failed. Check transaction logs.' Check for reasonable loss percentage: losses / opening_inventory. If >15%, add warning: 'Loss percentage ({pct}%) is unusually high. Review loss entries.' Check for negative inventory values. If found, add error: 'Negative inventory detected for {product_type}. Check data.' Check if any required fields missing (e.g., no TTB permit number). Add error if missing. 3) Return ValidationResult along with TtbMonthlyReportData. 4) Update TtbMonthlyReport model: Add columns validation_errors (JSON), validation_warnings (JSON). 5) In generate endpoint, save validation results to database. If errors exist, set status = ValidationFailed instead of Draft. 6) Update UI: In TtbReportsPage, display validation errors/warnings. Show warning icon if warnings exist. Block submission if errors exist. Add 'View Validation Report' button that shows detailed error/warning list."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-015,Create manual transaction entry UI,User Interface,5,8,TTB-004,"- TtbTransactionsPage.tsx component
- Form to manually add transactions
- Fields: Date, Type, Product, Proof Gallons, Wine Gallons, Notes
- Table showing all transactions for a month
- Edit/Delete capabilities
- Used for corrections or manual entries","Create manual transaction entry page for TTB transactions. File: caskr.client/src/pages/TtbTransactionsPage.tsx. This allows users to manually add, edit, or delete TTB transactions (useful for corrections, non-automated events like manual losses). UI: 1) Header with month/year selector. 2) 'Add Transaction' button opens modal with form: Transaction Date (date picker), Transaction Type (dropdown: Production, Transfer In, Transfer Out, Loss, Gain, Tax Determination, Destruction), Product Type (dropdown from existing products), Spirits Type (dropdown: Under 190 Proof, Neutral, Wine), Proof Gallons (number input, 2 decimals), Wine Gallons (number input, 2 decimals), Notes (textarea). On submit, POST /api/ttb/transactions with form data. 3) Transactions table for selected month: Columns [Date | Type | Product | Spirits Type | Proof Gallons | Wine Gallons | Source | Notes | Actions]. Source column shows if transaction is auto-generated (e.g., 'Batch #123') or manual ('Manual Entry'). 4) Actions: Edit button (opens same modal pre-filled), Delete button (confirmation dialog, DELETE /api/ttb/transactions/{id}). 5) Summary footer showing totals: Total Production, Total Transfers In, Total Transfers Out, Total Losses for the month. 6) Export to CSV button. Backend endpoints: POST /api/ttb/transactions (create), PUT /api/ttb/transactions/{id} (update), DELETE /api/ttb/transactions/{id} (delete), GET /api/ttb/transactions?companyId={id}&month={m}&year={y} (list). Add permission check: only users with TTB_EDIT permission can add/edit/delete transactions."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-016,Add gauge record tracking,Backend Service,8,9,TTB-002,"- Gauge record for each barrel (required by TTB)
- Table: ttb_gauge_records (barrel_id, gauge_date, proof, temperature, proof_gallons_calculated)
- Automatic gauge creation on barrel fill
- Manual gauge entry support
- Gauge records linked to monthly reports","Implement gauge record tracking for TTB compliance. Gauge records document the proof and volume of spirits at time of fill, storage, and removal. Create table: ttb_gauge_records (id, barrel_id FK, gauge_date TIMESTAMP, gauge_type ENUM(Fill, Storage, Removal), proof DECIMAL(5,2), temperature DECIMAL(5,2), wine_gallons DECIMAL(10,2), proof_gallons DECIMAL(10,2), gauged_by_user_id FK, notes TEXT). Implementation: 1) Create entity model TtbGaugeRecord.cs with navigation properties to Barrel and User. 2) Create service: ITtbGaugeRecordService. Methods: CreateGaugeRecordAsync(int barrelId, GaugeType type, decimal proof, decimal temp, decimal wineGallons), GetGaugeRecordsForBarrelAsync(int barrelId). 3) Calculation: proof_gallons = wine_gallons * (proof / 100). Auto-adjust for temperature using TTB temperature-correction tables (complex but required for accuracy - may need lookup table). 4) Integration: In BarrelsService, when barrel is filled (status = Filled), automatically create Fill gauge record using batch ABV and volume. When barrel dumped (status = Emptied), create Removal gauge record. 5) Add manual gauge entry: Storage gauges are typically manual (monthly or quarterly inventory checks). Create UI for warehouse staff to enter gauge readings. 6) Link to reports: Include gauge records in Form 5110.28/5110.40 calculations for accurate proof gallons. This is critical for TTB audit compliance."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-017,Create excise tax calculation,Backend Service,5,9,TTB-016,"- Calculate federal excise tax on removed spirits
- Rate: $13.50 per proof gallon (or $13.34 for small distillers)
- Tax determination tracking in ttb_transactions
- Integration with accounting (if QuickBooks connected, post tax liability)
- Excise tax reports","Implement excise tax calculation for TTB compliance. Federal excise tax on distilled spirits is $13.50 per proof gallon (reduced rate of $13.34/proof gallon for first 100,000 proof gallons for eligible distillers under Craft Beverage Modernization Act). Create service: ITtbExciseTaxService. Methods: 1) Task<ExciseTaxCalculation> CalculateTaxAsync(int orderId) - calculates tax for bottled/removed spirits. Implementation: Fetch order with all barrels/batches. Sum total proof gallons removed. Determine applicable tax rate: Check if company is eligible for reduced rate (annual production < 2.25M proof gallons, no foreign ownership). Apply rate: $13.34 for first 100,000 PG, $13.50 for remainder. Calculate total tax due. 2) Task<TtbTransaction> RecordTaxDeterminationAsync(int orderId, ExciseTaxCalculation calc) - creates TtbTransaction with type = TaxDetermination. Includes proof gallons and calculated tax amount. 3) Integration with QuickBooks: If accounting integration enabled, create journal entry: Debit Excise Tax Expense (from chart of accounts mapping), Credit Excise Tax Payable. Amount = calculated tax. This keeps tax liability tracked in accounting system. 4) Create ExciseTaxReport (month/year) showing: Total proof gallons removed, Total tax due, Tax paid (if integrated with accounting), Outstanding tax liability. Required for TTB monthly reporting and payment. Store calculations in ttb_tax_determinations table (id, company_id, order_id, proof_gallons, tax_rate, tax_amount, determination_date, paid_date, payment_reference)."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-018,Create audit trail and history,Backend Service,3,10,All TTB tasks,"- Complete audit log for all TTB data changes
- Track who created/modified/deleted transactions
- Immutable once month is submitted
- Export audit trail to CSV for TTB inspections
- Timestamp all changes with UTC time","Implement comprehensive audit trail for TTB compliance. TTB audits require proving data integrity and who made changes. Create table: ttb_audit_logs (id, company_id, entity_type (TtbTransaction, TtbReport, GaugeRecord), entity_id, action (Create, Update, Delete), changed_by_user_id FK, change_timestamp TIMESTAMP, old_values JSONB, new_values JSONB, ip_address VARCHAR(45), user_agent TEXT). Implementation: 1) Create audit logging service: ITtbAuditLogger. Method: Task LogChangeAsync<T>(string action, T entity, T? oldEntity, int userId). 2) Integrate into all TTB services: In TtbTransactionLoggerService, TtbReportCalculatorService, TtbGaugeRecordService, after any Create/Update/Delete operation, call auditLogger.LogChangeAsync. Capture old and new values as JSON for comparison. 3) Implement immutability rule: Once TtbMonthlyReport has status = Submitted or Approved, prevent changes to any transactions for that month. In update/delete endpoints, check if related month's report is submitted. Return 403 Forbidden with message 'Cannot modify data for submitted reports. Contact administrator.' 4) Export functionality: Create endpoint GET /api/ttb/audit-trail?companyId={id}&startDate={date}&endDate={date} returns CSV with all changes. Include columns: Timestamp, User, Entity, Action, Details. 5) UI: Add 'Audit Trail' tab to TtbReportsPage showing recent changes. Display user-friendly change descriptions (e.g., 'John Doe added Loss transaction for 5.25 proof gallons on 10/15/2024'). Essential for compliance and internal controls."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-019,Create TTB submission workflow,Backend Service,5,10,TTB-014|TTB-018,"- Multi-step submission workflow: Draft → Review → Approved → Submitted
- Role-based approvals (e.g., Compliance Manager must approve)
- Email notifications at each step
- Lock report data after submission
- Track submission date and confirmation number","Implement submission workflow for TTB reports. Reports should go through review/approval before submission to TTB. Workflow states: Draft → PendingReview → Approved → Submitted → Archived. Implementation: 1) Update TtbMonthlyReport model: Add columns reviewed_by_user_id, reviewed_at, approved_by_user_id, approved_at. 2) Create state machine in TtbReportWorkflowService: Methods: SubmitForReviewAsync(int reportId, int userId) - changes status Draft → PendingReview, sends email to reviewers. ApproveReportAsync(int reportId, int userId) - requires role = ComplianceManager, changes status PendingReview → Approved, sends email to submitter. SubmitToTtbAsync(int reportId, string confirmationNumber) - changes status Approved → Submitted, locks all related data, records confirmation number from TTB. 3) Validation: Before moving to PendingReview, run validation (FIN-014). Block if errors exist. Before Approved → Submitted, ensure no validation errors and all required fields populated. 4) Notifications: Use IEmailService to send emails at each state transition. Email templates: review_requested.html, report_approved.html, submission_confirmed.html. 5) Data locking: When status = Submitted, prevent any changes to transactions for that month (see FIN-018). 6) UI: Add status badges and action buttons to reports page. 'Submit for Review' button (Draft → PendingReview), 'Approve' button (for ComplianceManager users), 'Mark as Submitted' button with modal to enter TTB confirmation number."
P1-Critical,TTB Compliance,Monthly Report Automation,TTB-020,Write comprehensive TTB documentation,Documentation,5,10,All TTB tasks,"- User guide for TTB compliance features
- How to generate monthly reports
- How to review and submit reports
- How to handle corrections
- FAQ for common TTB scenarios
- Admin guide for setup and configuration","Create comprehensive user documentation for TTB compliance features. File: docs/TTB_COMPLIANCE_USER_GUIDE.md. Document structure: 1) **Introduction**: Overview of TTB compliance requirements for distilleries, explanation of Forms 5110.28 and 5110.40. 2) **Setup**: How to enable TTB compliance, configure company TTB permit number, set up automatic report generation, assign compliance roles (who can review/approve reports). 3) **Daily Operations**: How TTB transactions are automatically logged (batch completion, transfers, bottling), when to manually add transactions (losses, corrections), gauge record entry for barrels. 4) **Monthly Reporting**: How to generate draft reports (auto or manual), how to review report data, understanding validation warnings, correcting errors before submission, approval workflow (submit for review → manager approves → submit to TTB). 5) **Submitting to TTB**: How to download final PDF, where to submit (TTB Pay.gov portal), how to enter confirmation number after submission, what happens after submission (data locked). 6) **Corrections and Amendments**: How to handle errors after submission, when to file amended reports, how to add manual transactions for prior periods. 7) **Audit Trail**: How to export audit logs for TTB inspections, understanding immutability rules. 8) **FAQ**: Common questions (What if my inventory doesn't reconcile?, How do I report evaporation losses?, What's the difference between proof gallons and wine gallons?). 9) **Troubleshooting**: Common errors and solutions. Include screenshots (mock-ups) of UI, step-by-step instructions, best practices. Format as markdown with table of contents."
P2-High,Advanced Reporting,Report Builder,REP-002,Create report query engine service,Backend Service,8,12,REP-001,"- Service executes dynamic reports based on template configuration
- Supports JOINs across multiple tables
- Applies filters, groupings, sorting dynamically
- Returns data in paginated format
- Performance optimized with query caching","Implement a dynamic report execution engine in Caskr.Server/Services/ReportingService.cs. This service generates SQL queries dynamically based on report templates. Interface: IReportingService with method Task<ReportResult> ExecuteReportAsync(int reportTemplateId, Dictionary<string, object> parameters). Implementation: 1) Fetch report template from database. 2) Parse data_sources JSON to determine which tables to query (e.g., ['barrels', 'batches', 'orders']). 3) Build SELECT clause from columns JSON (e.g., ['barrels.sku', 'batches.name', 'barrels.created_at']). 4) Build FROM clause with appropriate JOINs (use Entity Framework Core Include/ThenInclude or raw SQL). 5) Build WHERE clause from filters JSON combined with runtime parameters (e.g., {filter: 'barrels.status = @status AND barrels.created_at >= @startDate', parameters: {status: 'Aging', startDate: '2024-01-01'}}). Use parameterized queries to prevent SQL injection. 6) Apply GROUP BY from groupings JSON (e.g., 'GROUP BY batches.id'). 7) Apply ORDER BY from sort_order JSON. 8) Execute query using EF Core or Dapper for complex queries. 9) Apply pagination (LIMIT/OFFSET). 10) Return ReportResult DTO with {columns: [...], rows: [...], totalRows: int, executionTime: int}. Cache results for identical queries (5 min cache). Log slow queries (>2 sec). Security: Ensure user has access to company_id in all queries. This is complex - consider using a query builder library like Dynamic LINQ or SqlKata for safety and maintainability."
P2-High,Advanced Reporting,Report Builder,REP-003,Create 30 standard report templates,Data Seeding,8,13,REP-002,"- SQL seed data for 30 standard reports
- Categories: Financial (10), Inventory (10), Production (5), Compliance (5)
- Each report has: name, description, pre-configured filters, columns, groupings
- Reports tested with sample data","Create 30 standard report templates as seed data. File: Database/initdb.d/09-seed-standard-reports.sql. Reports to include: **Financial Reports (10)**: 1) Inventory Valuation by Batch (total value of aging inventory), 2) Cost of Goods Sold by Month (monthly COGS), 3) Revenue by Product Type, 4) Profit Margin by Batch, 5) Work in Progress Valuation, 6) Barrel Cost Analysis (cooper costs over time), 7) Aging Inventory Summary (value by age bracket), 8) Excise Tax Liability Report, 9) Monthly Production Costs, 10) Customer Revenue Ranking. **Inventory Reports (10)**: 1) Current Barrel Inventory by Status, 2) Barrel Aging Report (barrels by age range), 3) Warehouse Utilization by Location, 4) Low Stock Alert (products below threshold), 5) Barrel Movement History, 6) Inventory by Proof Range, 7) Batch Yield Analysis (compare expected vs actual), 8) Evaporation Loss Report (angels' share), 9) Barrels Due for Dumping (age threshold reached), 10) Multi-Warehouse Inventory Comparison. **Production Reports (5)**: 1) Monthly Production Volume (proof gallons produced), 2) Batch Efficiency Report (time from mash to barrel), 3) Equipment Utilization, 4) Quality Control Metrics, 5) Mash Bill Usage Analysis. **Compliance Reports (5)**: 1) TTB Monthly Summary (matches Form 5110.28), 2) Transfer Documentation Log, 3) Gauge Record Summary, 4) Tax Determination History, 5) Audit Trail Report. For each report, INSERT INTO report_templates with full JSON configuration. Test each report with sample data to ensure queries work correctly."
P2-High,Advanced Reporting,Report Builder,REP-004,Create report builder UI,User Interface,8,14,REP-003,"- ReportBuilderPage with list of available reports
- Filter selection UI (dynamic based on report template)
- Run report button, shows results in table
- Export to Excel/PDF/CSV
- Save custom filters as saved report","Create report builder UI in caskr.client/src/pages/ReportsPage.tsx. This page allows users to select, configure, and run reports. Implementation: 1) **Report selection**: Left sidebar with categorized report list (Financial, Inventory, Production, Compliance). Each category expandable with report names. Clicking report loads it in main area. Include search/filter for reports. 2) **Report configuration area**: Display selected report name and description. Show filter panel with inputs for each filter defined in template. Filters are dynamic based on report configuration: Date range filters (DateRangePicker), Status filters (multi-select checkboxes), Numeric filters (min/max inputs), Text filters (search input). Batch/Product filters (autocomplete). 3) **Run report button**: Primary button, calls POST /api/reports/execute with {reportTemplateId, filters: {...}}. Shows loading spinner during execution. 4) **Results display**: Table with columns from report definition. Sortable columns (click header to sort). Pagination controls. Summary footer if report includes totals. 5) **Export buttons**: Excel (calls GET /api/reports/{executionId}/export?format=xlsx, uses ExcelJS to generate file), PDF (uses jsPDF or server-side generation), CSV (simple comma-separated download). 6) **Save report**: 'Save as Favorite' button saves current filter configuration to saved_reports table. 'Saved Reports' tab shows user's saved reports with quick run links. 7) **Scheduled reports** (future): Option to schedule report to run monthly and email results. Use existing table components from OrdersPage. Consider adding chart visualization for financial reports (use Recharts library)."
P2-High,Advanced Reporting,Report Builder,REP-005,Create custom report builder UI,User Interface,8,15,REP-004,"- Drag-and-drop report builder interface
- Select data sources (tables)
- Select columns to include
- Configure filters, groupings, sorting
- Preview report before saving
- Save as custom report template","Create advanced report builder for power users to create custom reports. File: caskr.client/src/pages/CustomReportBuilderPage.tsx. This is a complex drag-and-drop UI builder. Implementation: 1) **Data source selection**: Step 1: Select tables to query from: Barrels, Batches, Orders, Tasks, Transfers, Products, MashBills, Companies. Multi-select checkboxes. System auto-detects JOIN relationships (e.g., Barrels → Batches via batch_id). 2) **Column selection**: Step 2: For each selected table, show available columns in left panel. Drag columns to 'Selected Columns' panel on right. Each column can be configured: Display name (alias), Aggregation function (SUM, AVG, COUNT, MIN, MAX for numeric columns), Formatting (date format, number decimals, currency). 3) **Filters configuration**: Step 3: Add filters panel. Button 'Add Filter' shows dropdown of all available columns. For each filter: Select column, Select operator (=, !=, >, <, >=, <=, IN, BETWEEN, LIKE, IS NULL), Enter value(s) - input type dynamic based on column type (date picker for dates, number input for numbers, text for strings). AND/OR logic between filters. 4) **Groupings**: Step 4: Drag columns to 'Group By' panel if aggregation needed. 5) **Sorting**: Step 5: Drag columns to 'Sort By' panel, choose ASC/DESC. 6) **Preview**: Button 'Preview Report' calls POST /api/reports/preview with current configuration (limit to 100 rows). Shows results in table. 7) **Save**: Form fields for report name, description, category. Button 'Save Custom Report' creates new report_template record. Report appears in standard reports list under 'Custom Reports' category. This is advanced functionality - consider using a library like React DnD (Drag and Drop). Alternatively, use a form-based approach instead of drag-and-drop for MVP."
